1:8000,chunk,replicate
1280,8,160
1281,1,161
1282,2,161
1283,3,161
1284,4,161
1285,5,161
1286,6,161
1287,7,161
1288,8,161
1289,1,162
1290,2,162
1291,3,162
1292,4,162
1293,5,162
1294,6,162
1295,7,162
1296,8,162
1297,1,163
1298,2,163
1299,3,163
1300,4,163
1301,5,163
1302,6,163
1303,7,163
1304,8,163
1305,1,164
1306,2,164
1307,3,164
1308,4,164
1309,5,164
1310,6,164
1311,7,164
1312,8,164
1313,1,165
1314,2,165
1315,3,165
1316,4,165
1317,5,165
1318,6,165
1319,7,165
1320,8,165
1321,1,166
1322,2,166
1323,3,166
1324,4,166
1325,5,166
1326,6,166
1327,7,166
1328,8,166
1329,1,167
1330,2,167
1331,3,167
1332,4,167
1333,5,167
1334,6,167
1335,7,167
1336,8,167
1337,1,168
1338,2,168
1339,3,168
1340,4,168
1341,5,168
1342,6,168
1343,7,168
1344,8,168
1345,1,169
1346,2,169
1347,3,169
1348,4,169
1349,5,169
1350,6,169
1351,7,169
1352,8,169
1353,1,170
1354,2,170
1355,3,170
1356,4,170
1357,5,170
1358,6,170
1359,7,170
1360,8,170
1361,1,171
1362,2,171
1363,3,171
1364,4,171
1365,5,171
1366,6,171
1367,7,171
1368,8,171
1369,1,172
1370,2,172
1371,3,172
1372,4,172
1373,5,172
1374,6,172
1375,7,172
1376,8,172
1377,1,173
1378,2,173
1379,3,173
1380,4,173
1381,5,173
1382,6,173
1383,7,173
1384,8,173
1385,1,174
1386,2,174
1387,3,174
1388,4,174
1389,5,174
1390,6,174
1391,7,174
1392,8,174
1393,1,175
1394,2,175
1395,3,175
1396,4,175
1397,5,175
1398,6,175
1399,7,175
1400,8,175
1401,1,176
1402,2,176
1403,3,176
1404,4,176
1405,5,176
1406,6,176
1407,7,176
1408,8,176
1409,1,177
1410,2,177
1411,3,177
1412,4,177
1413,5,177
1414,6,177
1415,7,177
1416,8,177
1417,1,178
1418,2,178
1419,3,178
1420,4,178
1421,5,178
1422,6,178
1423,7,178
1424,8,178
1425,1,179
1426,2,179
1427,3,179
1428,4,179
1429,5,179
1430,6,179
1431,7,179
1432,8,179
1433,1,180
1434,2,180
1435,3,180
1436,4,180
1437,5,180
1438,6,180
1439,7,180
1440,8,180
1441,1,181
1442,2,181
1443,3,181
1444,4,181
1445,5,181
1446,6,181
1447,7,181
1448,8,181
1449,1,182
1450,2,182
1451,3,182
1452,4,182
1453,5,182
1454,6,182
1455,7,182
1456,8,182
1457,1,183
1458,2,183
1459,3,183
1460,4,183
1461,5,183
1462,6,183
1463,7,183
1464,8,183
1465,1,184
1466,2,184
1467,3,184
1468,4,184
1469,5,184
1470,6,184
1471,7,184
1472,8,184
1473,1,185
1474,2,185
1475,3,185
1476,4,185
1477,5,185
1478,6,185
1479,7,185
1480,8,185
1481,1,186
1482,2,186
1483,3,186
1484,4,186
1485,5,186
1486,6,186
1487,7,186
1488,8,186
1489,1,187
1490,2,187
1491,3,187
1492,4,187
1493,5,187
1494,6,187
1495,7,187
1496,8,187
1497,1,188
1498,2,188
1499,3,188
1500,4,188
1501,5,188
1502,6,188
1503,7,188
1504,8,188
1505,1,189
1506,2,189
1507,3,189
1508,4,189
1509,5,189
1510,6,189
1511,7,189
1512,8,189
1513,1,190
1514,2,190
1515,3,190
1516,4,190
1517,5,190
1518,6,190
1519,7,190
1520,8,190
1521,1,191
1522,2,191
1523,3,191
1524,4,191
1525,5,191
1526,6,191
1527,7,191
1528,8,191
1529,1,192
1530,2,192
1531,3,192
1532,4,192
1533,5,192
1534,6,192
1535,7,192
1536,8,192
1537,1,193
1538,2,193
1539,3,193
1540,4,193
1541,5,193
1542,6,193
1543,7,193
1544,8,193
1545,1,194
1546,2,194
1547,3,194
1548,4,194
1549,5,194
1550,6,194
1551,7,194
1552,8,194
1553,1,195
1554,2,195
1555,3,195
1556,4,195
1557,5,195
1558,6,195
1559,7,195
1560,8,195
1561,1,196
1562,2,196
1563,3,196
1564,4,196
1565,5,196
1566,6,196
1567,7,196
1568,8,196
1569,1,197
1570,2,197
1571,3,197
1572,4,197
1573,5,197
1574,6,197
1575,7,197
1576,8,197
1577,1,198
1578,2,198
1579,3,198
1580,4,198
1581,5,198
1582,6,198
1583,7,198
1584,8,198
1585,1,199
1586,2,199
1587,3,199
1588,4,199
1589,5,199
1590,6,199
1591,7,199
1592,8,199
1593,1,200
1594,2,200
1595,3,200
1596,4,200
1597,5,200
1598,6,200
1599,7,200
1600,8,200
1601,1,201
1602,2,201
1603,3,201
1604,4,201
1605,5,201
1606,6,201
1607,7,201
1608,8,201
1609,1,202
1610,2,202
1611,3,202
1612,4,202
1613,5,202
1614,6,202
1615,7,202
1616,8,202
1617,1,203
1618,2,203
1619,3,203
1620,4,203
1621,5,203
1622,6,203
1623,7,203
1624,8,203
1625,1,204
1626,2,204
1627,3,204
1628,4,204
1629,5,204
1630,6,204
1631,7,204
1632,8,204
1633,1,205
1634,2,205
1635,3,205
1636,4,205
1637,5,205
1638,6,205
1639,7,205
1640,8,205
1641,1,206
1642,2,206
1643,3,206
1644,4,206
1645,5,206
1646,6,206
1647,7,206
1648,8,206
1649,1,207
1650,2,207
1651,3,207
1652,4,207
1653,5,207
1654,6,207
1655,7,207
1656,8,207
1657,1,208
1658,2,208
1659,3,208
1660,4,208
1661,5,208
1662,6,208
1663,7,208
1664,8,208
1665,1,209
1666,2,209
1667,3,209
1668,4,209
1669,5,209
1670,6,209
1671,7,209
1672,8,209
1673,1,210
1674,2,210
1675,3,210
1676,4,210
1677,5,210
1678,6,210
1679,7,210
1680,8,210
1681,1,211
1682,2,211
1683,3,211
1684,4,211
1685,5,211
1686,6,211
1687,7,211
1688,8,211
1689,1,212
1690,2,212
1691,3,212
1692,4,212
1693,5,212
1694,6,212
1695,7,212
1696,8,212
1697,1,213
1698,2,213
1699,3,213
1700,4,213
1701,5,213
1702,6,213
1703,7,213
1704,8,213
1705,1,214
1706,2,214
1707,3,214
1708,4,214
1709,5,214
1710,6,214
1711,7,214
1712,8,214
1713,1,215
1714,2,215
1715,3,215
1716,4,215
1717,5,215
1718,6,215
1719,7,215
1720,8,215
1721,1,216
1722,2,216
1723,3,216
1724,4,216
1725,5,216
1726,6,216
1727,7,216
1728,8,216
1729,1,217
1730,2,217
1731,3,217
1732,4,217
1733,5,217
1734,6,217
1735,7,217
1736,8,217
1737,1,218
1738,2,218
1739,3,218
1740,4,218
1741,5,218
1742,6,218
1743,7,218
1744,8,218
1745,1,219
1746,2,219
1747,3,219
1748,4,219
1749,5,219
1750,6,219
1751,7,219
1752,8,219
1753,1,220
1754,2,220
1755,3,220
1756,4,220
1757,5,220
1758,6,220
1759,7,220
1760,8,220
1761,1,221
1762,2,221
1763,3,221
1764,4,221
1765,5,221
1766,6,221
1767,7,221
1768,8,221
1769,1,222
1770,2,222
1771,3,222
1772,4,222
1773,5,222
1774,6,222
1775,7,222
1776,8,222
1777,1,223
1778,2,223
1779,3,223
1780,4,223
1781,5,223
1782,6,223
1783,7,223
1784,8,223
1785,1,224
1786,2,224
1787,3,224
1788,4,224
1789,5,224
1790,6,224
1791,7,224
1792,8,224
1793,1,225
1794,2,225
1795,3,225
1796,4,225
1797,5,225
1798,6,225
1799,7,225
1800,8,225
1801,1,226
1802,2,226
1803,3,226
1804,4,226
1805,5,226
1806,6,226
1807,7,226
1808,8,226
1809,1,227
1810,2,227
1811,3,227
1812,4,227
1813,5,227
1814,6,227
1815,7,227
1816,8,227
1817,1,228
1818,2,228
1819,3,228
1820,4,228
1821,5,228
1822,6,228
1823,7,228
1824,8,228
1825,1,229
1826,2,229
1827,3,229
1828,4,229
1829,5,229
1830,6,229
1831,7,229
1832,8,229
1833,1,230
1834,2,230
1835,3,230
1836,4,230
1837,5,230
1838,6,230
1839,7,230
1840,8,230
1841,1,231
1842,2,231
1843,3,231
1844,4,231
1845,5,231
1846,6,231
1847,7,231
1848,8,231
1849,1,232
1850,2,232
1851,3,232
1852,4,232
1853,5,232
1854,6,232
1855,7,232
1856,8,232
1857,1,233
1858,2,233
1859,3,233
1860,4,233
1861,5,233
1862,6,233
1863,7,233
1864,8,233
1865,1,234
1866,2,234
1867,3,234
1868,4,234
1869,5,234
1870,6,234
1871,7,234
1872,8,234
1873,1,235
1874,2,235
1875,3,235
1876,4,235
1877,5,235
1878,6,235
1879,7,235
1880,8,235
1881,1,236
1882,2,236
1883,3,236
1884,4,236
1885,5,236
1886,6,236
1887,7,236
1888,8,236
1889,1,237
1890,2,237
1891,3,237
1892,4,237
1893,5,237
1894,6,237
1895,7,237
1896,8,237
1897,1,238
1898,2,238
1899,3,238
1900,4,238
1901,5,238
1902,6,238
1903,7,238
1904,8,238
1905,1,239
1906,2,239
1907,3,239
1908,4,239
1909,5,239
1910,6,239
1911,7,239
1912,8,239
1913,1,240
1914,2,240
1915,3,240
1916,4,240
1917,5,240
1918,6,240
1919,7,240
1920,8,240
1921,1,241
1922,2,241
1923,3,241
1924,4,241
1925,5,241
1926,6,241
1927,7,241
1928,8,241
1929,1,242
1930,2,242
1931,3,242
1932,4,242
1933,5,242
1934,6,242
1935,7,242
1936,8,242
1937,1,243
1938,2,243
1939,3,243
1940,4,243
1941,5,243
1942,6,243
1943,7,243
1944,8,243
1945,1,244
1946,2,244
1947,3,244
1948,4,244
1949,5,244
1950,6,244
1951,7,244
1952,8,244
1953,1,245
1954,2,245
1955,3,245
1956,4,245
1957,5,245
1958,6,245
1959,7,245
1960,8,245
1961,1,246
1962,2,246
1963,3,246
1964,4,246
1965,5,246
1966,6,246
1967,7,246
1968,8,246
1969,1,247
1970,2,247
1971,3,247
1972,4,247
1973,5,247
1974,6,247
1975,7,247
1976,8,247
1977,1,248
1978,2,248
1979,3,248
1980,4,248
1981,5,248
1982,6,248
1983,7,248
1984,8,248
1985,1,249
1986,2,249
1987,3,249
1988,4,249
1989,5,249
1990,6,249
1991,7,249
1992,8,249
1993,1,250
1994,2,250
1995,3,250
1996,4,250
1997,5,250
1998,6,250
1999,7,250
2000,8,250
2001,1,251
2002,2,251
2003,3,251
2004,4,251
2005,5,251
2006,6,251
2007,7,251
2008,8,251
2009,1,252
2010,2,252
2011,3,252
2012,4,252
2013,5,252
2014,6,252
2015,7,252
2016,8,252
2017,1,253
2018,2,253
2019,3,253
2020,4,253
2021,5,253
2022,6,253
2023,7,253
2024,8,253
2025,1,254
2026,2,254
2027,3,254
2028,4,254
2029,5,254
2030,6,254
2031,7,254
2032,8,254
2033,1,255
2034,2,255
2035,3,255
2036,4,255
2037,5,255
2038,6,255
2039,7,255
2040,8,255
2041,1,256
2042,2,256
2043,3,256
2044,4,256
2045,5,256
2046,6,256
2047,7,256
2048,8,256
2049,1,257
2050,2,257
2051,3,257
2052,4,257
2053,5,257
2054,6,257
2055,7,257
2056,8,257
2057,1,258
2058,2,258
2059,3,258
2060,4,258
2061,5,258
2062,6,258
2063,7,258
2064,8,258
2065,1,259
2066,2,259
2067,3,259
2068,4,259
2069,5,259
2070,6,259
2071,7,259
2072,8,259
2073,1,260
2074,2,260
2075,3,260
2076,4,260
2077,5,260
2078,6,260
2079,7,260
2080,8,260
2081,1,261
2082,2,261
2083,3,261
2084,4,261
2085,5,261
2086,6,261
2087,7,261
2088,8,261
2089,1,262
2090,2,262
2091,3,262
2092,4,262
2093,5,262
2094,6,262
2095,7,262
2096,8,262
2097,1,263
2098,2,263
2099,3,263
2100,4,263
2101,5,263
2102,6,263
2103,7,263
2104,8,263
2105,1,264
2106,2,264
2107,3,264
2108,4,264
2109,5,264
2110,6,264
2111,7,264
2112,8,264
2113,1,265
2114,2,265
2115,3,265
2116,4,265
2117,5,265
2118,6,265
2119,7,265
2120,8,265
2121,1,266
2122,2,266
2123,3,266
2124,4,266
2125,5,266
2126,6,266
2127,7,266
2128,8,266
2129,1,267
2130,2,267
2131,3,267
2132,4,267
2133,5,267
2134,6,267
2135,7,267
